Date,Temp High,Temp Avg,Temp Low,Dew Point High,Dew Point Avg,Dew Point Low,Humidity High,Humidity Avg,Humidity Low,Pressure High,Pressure Avg,Pressure Low,Precipitation (in.)
1/1/2015,41,38,35,41,38,32,100,96,73,30.38,30.25,30.14,0.72
1/2/2015,44,42,40,44,42,40,100,99,97,30.17,30.08,29.95,0.17
1/3/2015,51,45,39,44,41,38,100,93,73,30.13,30,29.89,1.19
1/4/2015,46,38,31,39,31,24,99,74,48,30.68,30.45,30.13,0
1/5/2015,50,38,26,30,25,22,84,64,36,30.7,30.59,30.43,0
1/6/2015,64,48,33,36,32,27,86,58,28,30.47,30.39,30.33,0
1/7/2015,54,42,28,43,30,12,90,62,44,30.77,30.55,30.34,0
1/8/2015,36,28,21,30,14,8,82,52,37,30.76,30.55,30.33,0
1/9/2015,35,34,33,34,31,29,97,86,76,30.55,30.47,30.36,0.05
1/10/2015,37,36,34,34,29,23,97,80,60,30.53,30.44,30.3,0.01
1/11/2015,43,38,33,42,38,33,100,98,95,30.31,30.2,30.12,1.92
1/12/2015,45,43,41,44,41,38,100,93,79,30.41,30.3,30.18,0
1/13/2015,41,38,36,39,36,34,97,87,79,30.46,30.4,30.36,0
1/14/2015,43,40,38,36,34,32,88,76,66,30.39,30.33,30.26,0
1/15/2015,54,44,35,36,34,29,92,71,43,30.37,30.32,30.27,0
1/16/2015,59,45,31,39,35,31,97,71,39,30.39,30.3,30.19,0
1/17/2015,65,50,36,46,40,34,94,67,46,30.23,30.13,30.03,0
1/18/2015,68,54,40,36,32,22,72,46,17,30.37,30.28,30.19,0
1/19/2015,71,53,35,54,43,31,96,69,40,30.19,30.07,29.95,0
1/20/2015,71,62,52,55,52,47,100,82,44,30.04,29.96,29.9,0
1/21/2015,60,54,47,54,50,45,100,88,69,30.17,30.09,30.05,0.06
1/22/2015,50,46,41,47,44,39,99,96,87,30.22,30.1,30.01,2.16
1/23/2015,47,42,37,40,38,34,99,88,70,30.26,30.21,30.15,0.07
1/24/2015,59,46,33,38,35,32,96,68,36,30.26,30.18,30.07,0
1/25/2015,68,54,41,42,34,24,81,51,25,30.2,30.08,30,0
1/26/2015,68,52,37,43,35,29,78,52,31,30.29,30.2,30.14,0
1/27/2015,78,62,47,46,42,38,83,53,27,30.2,30.15,30.11,0
1/28/2015,78,61,44,57,45,42,94,59,27,30.2,30.14,30.1,0
1/29/2015,73,64,53,58,52,37,98,71,44,30.39,30.24,30.14,0
1/30/2015,59,52,44,36,35,34,68,56,39,30.48,30.38,30.3,0
1/31/2015,63,52,40,58,45,34,97,77,59,30.29,30.12,29.95,0.03
2/1/2015,73,58,41,63,53,30,99,77,56,30.27,30,29.9,0.03
2/2/2015,45,38,30,33,25,20,80,60,42,30.43,30.35,30.28,0
2/3/2015,44,40,36,41,34,29,97,81,60,30.36,30.3,30.23,0.04
2/4/2015,53,47,41,52,46,40,99,95,85,30.22,30.14,30.06,0.03
2/5/2015,50,42,35,50,38,33,100,91,81,30.45,30.37,30.22,0.01
2/6/2015,56,46,36,45,39,34,93,80,56,30.46,30.36,30.25,0
2/7/2015,68,56,44,51,48,44,100,78,52,30.24,30.11,29.99,0
2/8/2015,71,62,54,58,56,52,97,84,63,30,29.93,29.87,0
2/9/2015,80,64,47,55,45,36,100,61,22,30.13,30.06,30,0.03
2/10/2015,77,60,42,54,43,37,92,56,31,30.1,30.02,29.95,0
2/11/2015,74,64,54,57,53,49,99,76,42,30.23,30.07,29.98,0
2/12/2015,61,52,42,49,36,32,78,58,43,30.42,30.34,30.23,0
2/13/2015,64,50,37,45,37,32,80,60,39,30.38,30.32,30.23,0
2/14/2015,77,62,48,52,48,40,98,66,27,30.29,30.22,30.14,0
2/15/2015,65,60,54,62,58,52,96,88,77,30.17,30.07,29.92,0
2/16/2015,65,50,34,62,42,30,97,90,82,30.2,30.02,29.85,0.36
2/17/2015,50,40,31,32,28,23,87,71,43,30.3,30.23,30.13,0
2/18/2015,61,45,29,36,32,28,96,63,32,30.39,30.32,30.27,0
2/19/2015,66,50,34,48,40,29,91,68,47,30.41,30.29,30.12,0
2/20/2015,72,61,50,61,57,48,94,82,64,30.12,29.96,29.82,0
2/21/2015,74,64,55,62,58,47,88,77,63,30.03,29.9,29.83,0
2/22/2015,56,48,41,54,48,39,99,90,74,30.37,30.12,29.98,0.12
2/23/2015,39,35,31,38,33,29,99,96,90,30.47,30.41,30.37,0.01
2/24/2015,36,32,29,34,31,29,98,92,80,30.38,30.23,30.01,0
2/25/2015,48,40,33,36,34,32,99,86,57,30.04,29.93,29.85,0
2/26/2015,47,38,29,35,31,25,99,79,57,30.39,30.18,29.92,0
2/27/2015,40,36,33,27,26,23,73,66,58,30.46,30.38,30.32,0
2/28/2015,47,41,35,40,33,27,95,73,60,30.38,30.31,30.25,0
3/1/2015,43,40,37,43,40,37,100,99,96,30.33,30.28,30.24,0.05
3/2/2015,45,42,39,45,42,40,100,99,97,30.36,30.27,30.17,0.04
3/3/2015,76,60,44,66,56,45,100,92,68,30.16,29.97,29.84,0.01
3/4/2015,75,54,33,69,57,32,100,93,72,30.19,29.92,29.8,0.06
3/5/2015,44,37,30,32,29,24,96,78,50,30.61,30.46,30.2,0.13
3/6/2015,54,40,25,29,24,18,93,59,28,30.64,30.55,30.47,0
3/7/2015,56,44,31,37,30,26,90,60,32,30.52,30.42,30.33,0
3/8/2015,52,47,42,48,44,33,100,92,49,30.33,30.2,30.08,0.67
3/9/2015,52,50,48,52,50,48,100,100,99,30.09,29.95,29.85,2.99
3/10/2015,55,52,49,51,50,49,100,94,85,30.16,30.05,29.94,0.01
3/11/2015,59,55,51,52,51,49,95,85,73,30.25,30.2,30.15,0
3/12/2015,62,57,52,56,53,51,96,89,79,30.2,30.09,30.01,0
3/13/2015,68,60,54,57,56,54,100,89,67,30.05,29.99,29.96,0.12
3/14/2015,71,62,52,55,53,50,100,79,50,30.2,30.1,30.04,0
3/15/2015,67,58,50,55,53,50,95,85,64,30.31,30.26,30.19,0
3/16/2015,77,63,49,59,55,49,99,76,50,30.3,30.23,30.15,0
3/17/2015,79,70,63,64,62,59,91,79,60,30.22,30.13,30.06,0
3/18/2015,79,70,61,65,62,59,97,80,53,30.08,30.01,29.92,0.12
3/19/2015,80,70,59,68,64,60,100,86,62,30.02,29.98,29.92,0
3/20/2015,72,65,59,70,64,58,100,96,86,30.14,30.08,30,0.36
3/21/2015,61,59,57,61,59,57,100,99,97,30.14,30.07,29.97,0.72
3/22/2015,68,62,56,60,58,55,100,89,67,30.1,30.03,29.98,0
3/23/2015,77,64,51,57,54,51,100,78,44,30.17,30.08,30.02,0
3/24/2015,79,68,57,63,60,54,100,79,56,30.07,30,29.92,0
3/25/2015,81,71,61,62,61,59,97,75,49,30.01,29.95,29.87,0
3/26/2015,66,59,52,64,50,37,100,71,43,30.16,30.03,29.87,0.09
3/27/2015,77,60,43,45,41,36,86,53,27,30.2,30.15,30.1,0
3/28/2015,80,64,47,47,44,42,84,50,27,30.18,30.11,30.03,0
3/29/2015,82,66,50,63,56,45,100,70,40,30.16,30.1,30.04,0
3/30/2015,80,68,57,67,63,58,100,80,55,30.21,30.14,30.07,0
3/31/2015,80,71,63,67,62,61,97,77,54,30.12,30.04,29.94,0
4/1/2015,80,72,65,68,66,65,97,88,66,30.01,29.96,29.9,0.24
4/2/2015,81,74,66,70,67,64,98,83,65,29.99,29.94,29.9,0
4/3/2015,83,74,66,70,65,50,93,78,56,30.19,30.01,29.93,0
4/4/2015,71,62,54,56,48,45,83,60,43,30.35,30.25,30.17,0
4/5/2015,63,58,54,63,54,46,100,87,54,30.21,30.04,29.94,0
4/6/2015,82,72,63,68,66,63,100,81,59,30.02,29.97,29.93,0
4/7/2015,84,75,66,68,66,63,99,77,54,30.06,30,29.93,0
